heap,bptree,hash,sequential,isam,brin,rtree
0.0858,0.2558,0.2389,1.858,0.2954,0.351,1.9541
0.087,0.298,0.1931,0.406,0.4308,0.314,1.467
0.0892,0.2499,0.1822,1.5132,0.33,0.3159,1.8241
0.0913,0.2961,0.212,1.3733,0.3262,0.2871,1.9329
0.0913,0.278,0.174,0.4408,0.246,0.319,1.2689
0.097,0.2642,0.174,1.5502,0.304,0.309,1.3249
0.0892,0.2742,0.2341,1.4658,0.335,0.277,1.7161
0.0839,0.3657,0.191,1.3502,0.3071,0.273,1.8489
0.0901,0.3572,0.1752,0.6621,0.3841,0.2728,1.9858
0.0861,0.3521,0.1719,0.7031,0.3829,0.3211,1.972
0.0861,0.3459,0.1719,1.1721,0.3028,0.2661,2.0702
0.087,0.334,0.2351,1.3399,0.303,0.2801,5.533
0.0851,0.3226,0.2313,1.369,0.2978,0.2701,1.4033
0.0858,0.5171,0.1721,1.039,0.299,0.3097,1.972
0.0901,0.3448,0.1771,1.8051,0.3128,0.2842,1.3719
0.0892,0.3271,0.186,1.2491,0.2942,0.2818,1.8308
0.0851,0.3309,0.185,1.6332,0.3052,0.3009,1.9321
0.0851,0.3452,0.191,1.2977,0.304,0.2902,5.7158
0.088,0.3579,0.232,0.4671,0.36,0.314,1.3099
0.0949,0.3383,0.1948,1.39,0.3362,0.2789,1.3361
0.0851,0.3338,0.1752,1.2381,0.315,0.34,1.9763
0.0889,0.4141,0.2289,0.5319,0.2391,0.324,1.308
0.092,0.3161,0.1781,1.1868,0.304,0.2949,1.9588
0.0868,0.334,0.1929,1.693,0.3419,0.3221,1.9588
0.0877,0.3409,0.217,0.6099,0.3979,0.3009,2.0792
0.0861,0.34,0.1752,0.7849,0.3071,0.2761,1.39
0.0892,0.3099,0.17,0.406,0.2351,0.3042,1.8721
0.088,0.3152,0.174,2.0351,0.361,0.2718,1.9572
0.0901,0.5929,0.1721,1.9813,0.3121,0.2999,1.9619
0.1121,0.3409,0.1762,1.7977,0.308,0.277,1.4019
0.1132,0.3541,0.2232,0.7827,0.3147,0.2692,1.9901
0.114,0.3259,0.1721,0.6521,0.2799,0.2849,2.1451
0.0999,0.329,0.221,2.0082,0.3037,0.35,5.7878
0.0913,0.356,0.1802,1.6239,0.299,0.2871,1.7219
0.0913,0.3889,0.1712,1.657,0.32,0.2701,1.6172
0.0908,0.381,0.1709,0.5531,0.3562,0.262,2.167
0.1192,0.3519,0.1721,0.5639,0.3572,0.2971,1.708
0.0892,0.3488,0.1779,0.9842,0.298,0.293,2.3739
0.0818,0.3583,0.1762,2.0678,0.309,0.2739,2.2111
0.0908,0.3428,0.263,1.246,0.3102,0.262,2.229
0.0958,0.3629,0.175,1.5419,0.3037,0.3471,2.0831
0.087,0.3371,0.1709,2.007,0.3121,0.2699,1.6539
0.093,0.3519,0.181,0.9933,0.3309,0.2642,2.4612
0.0882,0.35,0.176,1.4291,0.3061,0.2599,2.219
0.087,0.3519,0.1731,1.1659,0.3099,0.2911,2.2671
0.087,0.36,0.1769,1.399,0.3181,0.2828,2.3592
0.082,0.3359,0.1819,1.9469,0.3529,0.2711,2.2209
0.0882,0.3142,0.2089,0.6433,0.4599,0.2599,2.4261
0.0899,0.37,0.2213,1.7819,0.299,0.289,2.4099
0.108,0.3431,0.1729,106.0729,0.3819,0.4139,5.8048
0.0918,0.3459,0.1731,0.4239,0.4568,0.283,2.4741
0.0849,0.3061,0.174,0.4189,0.3181,0.3049,2.1293
0.0939,0.349,0.1731,0.4179,0.3831,0.3121,2.0278
0.102,0.2749,0.1752,0.4051,0.3471,0.273,1.8561
0.0932,0.3111,0.2098,0.3889,0.3302,0.2701,2.079
0.107,0.2539,0.2022,0.3841,0.3383,0.2599,2.0611
0.0899,0.2601,0.2041,0.375,0.3619,0.303,1.425
0.1009,0.3209,0.2382,0.423,0.3979,0.294,1.3587
0.093,0.314,0.1779,0.3893,0.3331,0.2711,6.041
0.0901,0.3171,0.174,0.4039,0.2491,0.267,2.0418
0.0839,0.3169,0.1791,0.4339,0.3259,0.3579,1.4191
0.0861,0.325,0.247,0.3722,0.3331,0.2928,2.1651
0.088,0.3269,0.217,0.381,0.324,0.282,1.395
0.0839,0.3309,0.1869,0.4039,0.37,0.2823,1.729
0.088,0.3369,0.1779,0.3839,0.3579,0.3147,1.3273
0.0892,0.4082,0.1919,0.3781,0.3388,0.3791,1.5078
0.088,0.349,0.33,0.386,0.387,0.2759,1.4598
0.0978,0.3462,0.242,0.3891,0.3231,0.4013,2.0533
0.088,0.344,0.1919,0.4261,0.365,0.3347,1.5008
0.0899,0.3698,0.2191,0.3779,0.34,0.293,6.078
0.1149,0.3591,0.21,0.3872,0.3681,0.2651,1.92
0.0908,0.3662,0.185,0.3829,0.319,0.3128,1.3731
0.0849,0.3469,0.185,0.3798,0.3178,0.2871,1.9269
0.0918,0.34,0.1841,0.3819,0.3211,0.2649,1.43
0.088,0.344,0.2041,0.3719,0.3178,0.299,2.013
0.0939,0.3138,0.2551,0.3779,0.3221,0.3049,2.1849
0.0849,0.32,0.1969,0.4034,0.35,0.2892,2.1288
0.0889,0.3421,0.2172,0.3967,0.422,0.288,1.3502
0.0868,0.3409,0.19,0.3772,0.3271,0.2999,1.914
0.0851,0.3381,0.201,0.4079,0.3242,0.3762,1.9109
0.0868,0.3769,0.1919,0.392,0.344,0.3879,1.3239
0.0939,0.3331,0.1857,0.391,0.33,0.324,6.0811
0.088,0.2689,0.1872,0.3631,0.3247,0.2792,1.4341
0.0889,4.8842,0.1898,0.3769,0.3259,0.2661,1.3981
0.0849,0.273,0.2341,0.391,0.386,0.3018,2.0463
0.0868,0.2708,0.2069,0.375,0.3231,0.2792,2.013
0.0861,0.2761,0.2158,0.3908,0.314,0.3059,1.7669
0.0861,0.273,0.185,0.3803,0.319,0.2851,2.1708
0.0839,0.2921,0.19,0.433,0.3209,0.3009,1.7462
0.0839,0.2701,0.1888,0.381,0.3278,0.2842,5.991
0.0858,0.2618,0.1862,0.3812,0.3262,0.2708,1.8487
0.0839,0.3262,0.1888,0.365,0.2477,0.2739,1.3769
0.0861,0.437,0.1981,0.3693,0.4072,0.3052,1.4908
0.0858,0.267,0.2539,0.3867,0.366,0.299,1.3971
